CreatedOn	po_number	Status	SourcePrimaryKey	Created	CreatedBy	Source
2024-06-13 15:32:39	ZE346364	processed	N2000994366	Automatic		Dentira
2024-06-13 15:24:30	ZE346355	processed	N2000994354	Automatic		Dentira
2024-06-13 15:05:00	ZE195213	processed	N2000994324	Manual	NULL	Dentira
2024-06-13 15:03:06	ZE195379	processed	N2000994321	Manual	NULL	Dentira
2024-06-13 14:54:06	ZE346045	processed	N2000994309	Automatic		Dentira
2024-06-13 14:53:51	ZE346086	processed	N2000994306	Automatic		Dentira
2024-06-13 14:36:53	ZE346324	processed	N2000994285	Automatic		Dentira
2024-06-13 14:33:29	ZE346320	processed	N2000994276	Automatic		Dentira
2024-06-13 14:26:51	ZE346318	processed	N2000994258	Automatic		Dentira
2024-06-13 14:25:16	ZE346315	processed	N2000994252	Automatic		Dentira
2024-06-13 14:18:16	ZE346305	processed	N2000994228	Automatic		Dentira
2024-06-13 14:15:37	ZE346302	processed	N2000994222	Automatic		Dentira
2024-06-13 13:51:12	ZE346283	processed	N2000994186	Automatic		Dentira
2024-06-13 11:49:51	ZE345980	processed	N2000994090	Automatic		Dentira
2024-06-13 11:41:45	ZE346227	processed	N2000994087	Automatic		Dentira
2024-06-13 00:09:14	ZE346216	processed	N2000994051	Automatic		Dentira
2024-06-12 22:34:00	ZE346202	processed	N2000994024	Automatic		Dentira
2024-06-12 22:14:23	ZE346190	processed	N2000994015	Automatic		Dentira
2024-06-12 22:01:47	ZE194794	processed	N2000994003	Manual	NULL	Dentira
2024-06-12 21:58:03	ZE194782	processed	N2000994000	Manual	NULL	Dentira
2024-06-12 21:50:36	ZE195156	processed	N2000993991	Manual	NULL	Dentira
2024-06-12 21:19:51	ZE346174	processed	N2000993940	Automatic		Dentira
2024-06-12 21:09:58	ZE346166	processed	N2000993931	Automatic		Dentira
2024-06-12 20:26:48	ZE346131	processed	N2000993847	Automatic		Dentira
2024-06-12 20:24:00	ZE346103	processed	N2000993829	Automatic		Dentira
2024-06-12 20:22:07	ZE346116	processed	N2000993823	Automatic		Dentira
2024-06-12 20:16:13	ZE346112	processed	N2000993802	Automatic		Dentira
2024-06-12 20:05:56	ZE346092	processed	N2000993772	Automatic		Dentira
2024-06-12 19:57:05	ZE346033	processed	N2000993754	Automatic		Dentira
2024-06-12 19:56:50	ZE345802	processed	N2000993751	Automatic		Dentira
2024-06-12 19:55:36	ZE346090	processed	N2000993748	Automatic		Dentira
2024-06-12 19:33:04	ZE346064	processed	N2000993688	Automatic		Dentira
2024-06-12 19:31:02	ZE195252	processed	N2000993679	Manual	NULL	Dentira
2024-06-12 19:28:38	ZE195250	processed	N2000993673	Manual	NULL	Dentira
2024-06-12 18:55:47	ZE346012	processed	N2000993616	Automatic		Dentira
2024-06-12 18:54:48	ZE346010	processed	N2000993610	Automatic		Dentira
2024-06-12 18:54:06	ZE345530	processed	N2000993604	Automatic		Dentira
2024-06-12 18:41:33	ZE345998	processed	N2000993574	Automatic		Dentira
2024-06-12 18:35:49	ZE345990	processed	N2000993553	Automatic		Dentira
2024-06-12 18:30:08	ZE345979	processed	N2000993526	Automatic		Dentira
2024-06-12 18:07:45	ZE345900	processed	N2000993463	Automatic		Dentira
2024-06-12 17:53:51	ZE345946	processed	N2000993430	Automatic		Dentira
2024-06-12 17:50:26	ZE345943	processed	N2000993424	Automatic		Dentira
2024-06-12 17:08:40	ZE345685	processed	N2000993337	Automatic		Dentira
2024-06-12 17:08:14	ZE345811	processed	N2000993334	Automatic		Dentira
2024-06-12 17:06:56	ZE190739	processed	N2000993325	Manual	NULL	Dentira
2024-06-12 16:53:43	ZE345912	processed	N2000993295	Automatic		Dentira
2024-06-12 16:53:03	ZE185249	processed	N2000993283	Manual	NULL	Dentira
2024-06-12 16:52:37	ZE345911	processed	N2000993286	Automatic		Dentira
2024-06-12 16:42:31	ZE101812	processed	N2000993262	Manual	NULL	Dentira
2024-06-12 16:40:51	ZE190770	processed	N2000993259	Manual	NULL	Dentira
2024-06-12 16:39:56	ZE345888	processed	N2000993256	Automatic		Dentira
2024-06-12 16:38:16	ZE190744	processed	N2000993244	Manual	NULL	Dentira
2024-06-12 16:36:24	ZE190748	processed	N2000993238	Manual	NULL	Dentira
2024-06-12 16:31:32	ZE191698	processed	N2000993223	Manual	NULL	Dentira
2024-06-12 16:29:36	ZE187836	processed	N2000993217	Manual	NULL	Dentira
2024-06-12 16:26:28	ZE182414	processed	N2000993202	Manual	NULL	Dentira
2024-06-12 16:23:33	ZE183056	processed	N2000993190	Manual	NULL	Dentira
2024-06-12 16:20:01	ZE233610	processed	N2000993178	Manual	NULL	Dentira
2024-06-12 16:19:05	ZE189175	processed	N2000993172	Manual	NULL	Dentira
2024-06-12 16:00:13	ZE233723	processed	N2000993112	Manual	NULL	Dentira
2024-06-12 15:59:02	ZE345857	processed	N2000993109	Automatic		Dentira
2024-06-12 15:57:22	ZE118373	processed	N2000993103	Manual	NULL	Dentira
2024-06-12 15:32:16	ZE345836	processed	N2000993058	Automatic		Dentira
2024-06-12 15:16:15	ZE104189	processed	N2000993028	Manual	Sonja Knight	Dentira
2024-06-12 14:54:01	ZE345799	processed	N2000993007	Automatic		Dentira
2024-06-12 14:51:00	ZE345793	processed	N2000992998	Automatic		Dentira
2024-06-12 14:44:26	ZE345613	processed	N2000992980	Automatic		Dentira
2024-06-12 14:38:23	ZE345773	processed	N2000992962	Automatic		Dentira
2024-06-12 14:22:50	ZE345482	processed	N2000992935	Automatic		Dentira
2024-06-12 14:06:59	ZE345751	processed	N2000992881	Automatic		Dentira
2024-06-12 13:36:50	ZE345733	processed	N2000992827	Automatic		Dentira
2024-06-12 13:26:17	ZE345723	processed	N2000992815	Automatic		Dentira
2024-06-12 12:44:41	ZE345677	processed	N2000992752	Automatic		Dentira
2024-06-12 12:08:59	ZE345655	processed	N2000992707	Automatic		Dentira
2024-06-12 00:04:48	ZE345636	processed	N2000992630	Automatic		Dentira
2024-06-11 21:56:24	ZE345608	processed	N2000992513	Automatic		Dentira
2024-06-11 21:36:23	ZE345594	processed	N2000992480	Automatic		Dentira
2024-06-11 21:30:32	ZE345588	processed	N2000992465	Automatic		Dentira
2024-06-11 21:28:24	ZE345586	processed	N2000992459	Automatic		Dentira
2024-06-11 21:28:03	ZE345578	processed	N2000992456	Automatic		Dentira
2024-06-11 21:02:06	ZE345551	processed	N2000992411	Automatic		Dentira
2024-06-11 20:58:00	ZE345546	processed	N2000992399	Automatic		Dentira
2024-06-11 20:29:58	ZE345512	processed	N2000992336	Automatic		Dentira
2024-06-11 20:24:21	ZE107921	processed	N2000992315	Manual	NULL	Dentira
2024-06-11 20:22:12	ZE194213	processed	N2000992312	Manual	NULL	Dentira
2024-06-11 20:20:27	ZE195001	processed	N2000992306	Manual	NULL	Dentira
2024-06-11 20:07:42	ZE345501	processed	N2000992276	Automatic		Dentira
2024-06-11 19:49:46	ZE132940	processed	N2000992237	Manual	NULL	Dentira
2024-06-11 19:27:14	ZE345479	processed	N2000992198	Automatic		Dentira
2024-06-11 19:21:16	ZE345475	processed	N2000992192	Automatic		Dentira
2024-06-11 19:16:13	ZE194210	processed	N2000992180	Manual	NULL	Dentira
2024-06-11 19:13:13	ZE194208	processed	N2000992162	Manual	NULL	Dentira
2024-06-11 18:19:25	ZE345433	processed	N2000992045	Automatic		Dentira
2024-06-11 18:18:41	ZE345429	processed	N2000992042	Automatic		Dentira
2024-06-11 17:55:34	ZE345414	processed	N2000991985	Automatic		Dentira
2024-06-11 17:39:26	ZE186225	processed	N2000991958	Manual	NULL	Dentira
2024-06-11 17:25:44	ZE345372	processed	N2000991931	Automatic		Dentira
2024-06-11 17:12:11	ZE345395	processed	N2000991907	Automatic		Dentira
2024-06-11 17:11:46	ZE345392	processed	N2000991901	Automatic		Dentira
2024-06-11 16:36:39	ZE345366	processed	N2000991835	Automatic		Dentira
2024-06-11 16:04:59	ZE194887	processed	N2000991754	Manual	NULL	Dentira
2024-06-11 16:02:16	ZE194739	processed	N2000991745	Manual	NULL	Dentira
2024-06-11 15:49:30	ZE109954	processed	N2000991724	Manual	NULL	Dentira
2024-06-11 15:45:31	ZE190774	processed	N2000991718	Manual	NULL	Dentira
2024-06-11 15:42:51	ZE194760	processed	N2000991712	Manual	NULL	Dentira
2024-06-11 15:38:26	ZE110287	processed	N2000991700	Manual	NULL	Dentira
2024-06-11 15:27:25	ZE345313	processed	N2000991688	Manual	NULL	Dentira
2024-06-11 14:50:31	ZE345300	processed	N2000991607	Automatic		Dentira
2024-06-11 14:49:16	ZE345298	processed	N2000991601	Automatic		Dentira
2024-06-11 14:42:28	ZE345289	processed	N2000991595	Automatic		Dentira
2024-06-11 14:30:10	ZE345287	processed	N2000991568	Automatic		Dentira
2024-06-11 14:27:58	ZE194799	processed	N2000991559	Manual	NULL	Dentira
2024-06-11 14:07:20	ZE132740	processed	N2000991520	Manual	NULL	Dentira
2024-06-11 14:06:48	ZE345221	processed	N2000991517	Automatic		Dentira
2024-06-11 13:57:15	ZE345270	processed	N2000991502	Automatic		Dentira
2024-06-11 12:09:55	ZE345208	processed	N2000991367	Automatic		Dentira
2024-06-11 00:48:46	ZE345131	processed	N2000991325	Automatic		Dentira
2024-06-10 23:44:23	ZE345179	processed	N2000991304	Automatic		Dentira
2024-06-10 21:37:00	ZE345152	processed	N2000991148	Automatic		Dentira
2024-06-10 21:25:35	ZE345144	processed	N2000991136	Automatic		Dentira
2024-06-10 21:18:38	ZE345142	processed	N2000991124	Automatic		Dentira
2024-06-10 20:56:47	ZE345124	processed	N2000991085	Automatic		Dentira
2024-06-10 20:53:20	ZE345123	processed	N2000991076	Automatic		Dentira
2024-06-10 20:47:28	ZE345096	processed	N2000991058	Automatic		Dentira
2024-06-10 20:15:36	ZE232728	processed	N2000991019	Manual	NULL	Dentira
2024-06-10 20:09:38	ZE233056	processed	N2000990995	Manual	NULL	Dentira
2024-06-10 19:48:51	ZE345056	processed	N2000990971	Automatic		Dentira
2024-06-10 19:44:12	ZE100349	processed	N2000990962	Manual	Sonja Knight	Dentira
